AA AB AM AR BA BB BM CA CB CM CQ CS DA DB DM EA EB EC EM EX FA FB FM GA GB GM HA HB HM IA IB IM JA JB JM LA
EC 0.018395 0.02004 0.075907 0.0082624 0.043629 0.022144 0.039103 0.097207 0.028966 0.031426 0.013567 0.015743 0.037834 0.025123 0.047795 0.035705 0.030348 NA 0.036708 0.18617 0.034338 0.016558 0.026985 0.032982 0.01619 0.036033 0.074456 0.037529 0.066243 0.027551 0.06278 0.029412 0.025404 0.031931 0.034966 0.069817
EM 0.041499 0.039677 0.1014 0.028972 0.059462 0.036943 0.056256 0.11242 0.044659 0.047381 0.034547 0.037506 0.053926 0.042258 0.070179 0.043049 0.03905 0.036708 NA 0.20175 0.047587 0.037077 0.044641 0.049582 0.037493 0.050351 0.09591 0.058958 0.085677 0.045421 0.087573 0.04989 0.044724 0.054657 0.056468 0.085358
EX 0.19075 0.1882 0.23621 0.16941 0.21045 0.19168 0.2061 0.21829 0.19679 0.15877 0.18968 0.1893 0.13392 0.19533 0.22054 0.19589 0.20262 0.18617 0.20175 NA 0.11599 0.1897 0.16233 0.1633 0.18593 0.19769 0.19886 0.20499 0.17507 0.19325 0.23049 0.20146 0.17676 0.1986 0.20431 0.11138
FA 0.037931 0.03446 0.089467 0.022838 0.056922 0.038469 0.052858 0.095034 0.042275 0.031443 0.034146 0.035409 0.030142 0.03979 0.065981 0.044795 0.045844 0.034338 0.047587 0.11599 NA 0.034786 0.023079 0.032913 0.032108 0.049083 0.079754 0.053495 0.0597 0.044792 0.080034 0.04775 0.037626 0.048529 0.053461 0.052748
FB 0.018225 0.02155 0.079764 0.0097132 0.042203 0.016834 0.040993 0.10118 0.027307 0.03292 0.015749 0.017076 0.037536 0.023374 0.048655 0.038047 0.030206 0.016558 0.037077 0.1897 0.034786 NA 0.026982 0.034024 0.016193 0.034699 0.07559 0.035261 0.064978 0.02903 0.064548 0.031364 0.026509 0.031313 0.034936 0.072291
FM 0.029738 0.02698 0.10086 0.019688 0.054972 0.029034 0.047891 0.10733 0.037781 0.032148 0.024907 0.024531 0.032792 0.032273 0.060722 0.042549 0.040092 0.026985 0.044641 0.16233 0.023079 0.026982 NA 0.037158 0.024534 0.038758 0.090161 0.056023 0.068901 0.03665 0.085862 0.042321 0.036596 0.04486 0.04811 0.06151
GA 0.040287 0.041933 0.096223 0.024734 0.056529 0.040848 0.056518 0.10167 0.042249 0.037847 0.034974 0.038913 0.045509 0.039872 0.067193 0.055437 0.045459 0.032982 0.049582 0.1633 0.032913 0.034024 0.037158 NA 0.035458 0.051466 0.085401 0.055257 0.074392 0.044832 0.080918 0.045845 0.037829 0.050829 0.049932 0.06866
GB 0.016147 0.019247 0.079321 0.0083686 0.045468 0.019872 0.040618 0.099534 0.025149 0.031748 0.016043 0.014333 0.03709 0.021835 0.0486 0.032595 0.032298 0.01619 0.037493 0.18593 0.032108 0.016193 0.024534 0.035458 NA 0.02484 0.073145 0.032439 0.060618 0.027084 0.066705 0.029866 0.024765 0.031281 0.036466 0.071897
GM 0.035195 0.029152 0.098997 0.028518 0.066167 0.035085 0.056549 0.11595 0.044548 0.045857 0.034804 0.032232 0.052009 0.040901 0.065619 0.04701 0.050124 0.036033 0.050351 0.19769 0.049083 0.034699 0.038758 0.051466 0.02484 NA 0.075298 0.051519 0.064636 0.042594 0.082376 0.046998 0.042821 0.048985 0.055788 0.084168
HA 0.081707 0.085212 0.13894 0.067804 0.10316 0.081657 0.1046 0.14736 0.089591 0.082752 0.077989 0.076184 0.084382 0.086218 0.10821 0.10387 0.090452 0.074456 0.09591 0.19886 0.079754 0.07559 0.090161 0.085401 0.073145 0.075298 NA 0.086829 0.097898 0.084032 0.11748 0.08865 0.081887 0.088766 0.095088 0.10726
HB 0.038458 0.044812 0.10003 0.031485 0.066827 0.041461 0.065715 0.11989 0.046836 0.053753 0.037448 0.035405 0.059775 0.050435 0.067787 0.065053 0.053049 0.037529 0.058958 0.20499 0.053495 0.035261 0.056023 0.055257 0.032439 0.051519 0.086829 NA 0.084275 0.0484 0.078949 0.050258 0.047865 0.047193 0.058215 0.088334
HM 0.071569 0.072375 0.13603 0.057868 0.094369 0.06745 0.093341 0.13967 0.07607 0.071515 0.067441 0.064863 0.067047 0.073806 0.10019 0.089406 0.081113 0.066243 0.085677 0.17507 0.0597 0.064978 0.068901 0.074392 0.060618 0.064636 0.097898 0.084275 NA 0.076997 0.11666 0.076935 0.070283 0.08028 0.085494 0.086965
IA 0.03436 0.033563 0.095782 0.020401 0.056587 0.03291 0.053554 0.1086 0.038739 0.041558 0.028495 0.028788 0.048151 0.038046 0.061609 0.048726 0.044022 0.027551 0.045421 0.19325 0.044792 0.02903 0.03665 0.044832 0.027084 0.042594 0.084032 0.0484 0.076997 NA 0.078242 0.031207 0.034728 0.046451 0.044043 0.078005
IB 0.065472 0.069593 0.12247 0.056336 0.093253 0.062903 0.095534 0.14771 0.077831 0.080339 0.064445 0.058137 0.086072 0.073575 0.091791 0.094917 0.081712 0.06278 0.087573 0.23049 0.080034 0.064548 0.085862 0.080918 0.066705 0.082376 0.11748 0.078949 0.11666 0.078242 NA 0.079754 0.0747 0.034195 0.087796 0.11601
IM 0.036522 0.037946 0.10157 0.023852 0.059608 0.034774 0.057259 0.11367 0.040654 0.046541 0.029143 0.032794 0.051859 0.040305 0.064794 0.052641 0.046905 0.029412 0.04989 0.20146 0.04775 0.031364 0.042321 0.045845 0.029866 0.046998 0.08865 0.050258 0.076935 0.031207 0.079754 NA 0.03539 0.047351 0.035144 0.084291
JA 0.026754 0.033047 0.08965 0.018696 0.053015 0.030541 0.051324 0.10475 0.035966 0.036327 0.025841 0.030326 0.040075 0.032469 0.057538 0.046595 0.038491 0.025404 0.044724 0.17676 0.037626 0.026509 0.036596 0.037829 0.024765 0.042821 0.081887 0.047865 0.070283 0.034728 0.0747 0.03539 NA 0.044723 0.036321 0.066397
JB 0.032144 0.032302 0.092659 0.024474 0.061052 0.033208 0.060614 0.11752 0.046299 0.04905 0.028525 0.026393 0.053605 0.04136 0.062057 0.05766 0.048548 0.031931 0.054657 0.1986 0.048529 0.031313 0.04486 0.050829 0.031281 0.048985 0.088766 0.047193 0.08028 0.046451 0.034195 0.047351 0.044723 NA 0.055474 0.085366
JM 0.047694 0.048488 0.1062 0.028118 0.063214 0.044473 0.062384 0.11775 0.047878 0.051684 0.036901 0.039719 0.059758 0.046851 0.070892 0.063414 0.05058 0.034966 0.056468 0.20431 0.053461 0.034936 0.04811 0.049932 0.036466 0.055788 0.095088 0.058215 0.085494 0.044043 0.087796 0.035144 0.036321 0.055474 NA 0.087047
LA 0.074711 0.073596 0.12047 0.060895 0.095107 0.075841 0.08813 0.12237 0.077971 0.069841 0.072835 0.073685 0.062547 0.079566 0.10096 0.076302 0.084209 0.069817 0.085358 0.11138 0.052748 0.072291 0.06151 0.06866 0.071897 0.084168 0.10726 0.088334 0.086965 0.078005 0.11601 0.084291 0.066397 0.085366 0.087047 NA
